,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-4022.62395115778,36.89736802291307,-29.83,-14290.456068820356
1,2,-927.1228568809515,15.416440391672348,-50.41,-16958.058627886472
2,3,-3108.1296947786877,40.52675638989711,-93.08,-18235.806683712006
3,4,-3588.118209436651,42.45120083535592,-118.41,-18397.671637823045
4,5,-3688.5762671292346,39.40277637070274,-135.01,-26046.197533240975
5,6,-3684.486579465177,38.63559889071965,-145.03,-26046.197533240975
6,7,-3945.0101879177264,38.55604348766823,-152.99,-26046.197533240975
7,8,-3808.9197215575327,38.17809809068777,-167.7,-26046.197533240975
8,9,-3693.022918672236,36.50330852673317,-168.56,-26046.197533240975
9,10,-4011.433938950466,38.00310043446976,-179.91,-26046.197533240975
10,11,-4133.146422972174,37.007121789728316,-172.46,-26046.197533240975
11,12,-4246.259642772879,37.573301277468424,-177.38,-26046.197533240975
12,13,-4164.987568532381,37.9072768145504,-191.04,-26046.197533240975
13,14,-3433.529184141246,35.14794962198365,-194.79,-26046.197533240975
14,15,-3587.5142118784015,34.969362781151645,-191.87,-26046.197533240975
15,16,-3929.4510173354333,35.99413049554383,-205.22,-31464.0006046322
16,17,-3861.2709293376306,36.02103580947292,-215.82,-31464.0006046322
17,18,-3738.5333553360806,32.32433391451927,-195.35,-31464.0006046322
18,19,-3773.949699505039,34.09011364785092,-215.95,-31464.0006046322
19,20,-4197.167991284357,33.98501353023975,-206.72,-31464.0006046322
20,21,-4420.695011295384,35.34104698626407,-215.66,-31464.0006046322
21,22,-4501.618573886123,35.78168134449276,-220.94,-31464.0006046322
22,23,-4488.861964428008,35.02072800075048,-211.75,-31464.0006046322
23,24,-4639.864149520739,33.71998128776452,-195.46,-31464.0006046322
24,25,-4558.623798046586,32.80825877153699,-198.49,-31464.0006046322
25,26,-4412.860903560343,32.812303759382274,-206.01,-31464.0006046322
26,27,-4140.845752125486,31.594347488567916,-201.53,-31464.0006046322
27,28,-3905.8476428534636,31.798717976779002,-209.3,-31464.0006046322
28,29,-3905.4604690265824,31.775622363543192,-209.91,-31464.0006046322
29,30,-3923.1874266906552,31.914323501057137,-216.21,-31464.0006046322
30,31,-4093.8131364090827,32.26182600870184,-217.38,-31464.0006046322
31,32,-4518.727424991122,33.05955981468073,-217.59,-31464.0006046322
32,33,-4411.674588542986,31.549782026171492,-207.32,-31464.0006046322
33,34,-4584.942153393993,31.96384185221841,-214.17,-32559.772622962355
34,35,-4600.6016882951135,32.606813630614944,-220.25,-32559.772622962355
35,36,-4581.643949163833,32.094990499051995,-229.62,-32559.772622962355
36,37,-4568.327621150445,31.91797571361856,-230.09,-32559.772622962355
37,38,-4330.927295839369,31.768485146324373,-236.79,-32559.772622962355
38,39,-4569.9872823222,31.3880389095896,-234.94,-32559.772622962355
39,40,-4570.380214177166,31.301425984667286,-231.84,-32559.772622962355
40,41,-4422.395440951423,31.18714290941517,-235.82,-32559.772622962355
41,42,-4812.6748342561905,32.809262564974894,-245.3,-32559.772622962355
42,43,-4970.86606022292,33.13063673733496,-248.95,-32559.772622962355
43,44,-5038.260232892457,33.27381883090221,-251.86,-32559.772622962355
44,45,-5106.349306611148,32.81970400896412,-249.14,-32559.772622962355
45,46,-5076.812559359776,32.19259277416751,-239.24,-32559.772622962355
46,47,-5124.226211273047,32.407180842299404,-241.91,-32559.772622962355
47,48,-5127.650908231448,32.516320032692015,-242.32,-32559.772622962355
48,49,-5168.276233781809,31.969257548713248,-240.91,-32559.772622962355
49,50,-4954.433801349422,31.470119849808984,-238.46,-32559.772622962355
