,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-2504.515460184759,40.003189640811044,-38.84,-15668.258301236807
1,2,-2101.8916990767434,35.60949398295614,-82.99,-16974.64628958553
2,3,-3446.991592218315,52.712242668117824,-119.08,-24148.898088275255
3,4,-3909.978186932064,53.64334477837995,-141.53,-24148.898088275255
4,5,-4311.873930034075,50.226464870603,-170.67,-32902.965144890484
5,6,-4986.461486353084,50.716480806030475,-193.5,-32902.965144890484
6,7,-4930.6350508104615,49.76240667132411,-213.75,-32902.965144890484
7,8,-4869.742537554446,48.381279589612575,-216.39,-32902.965144890484
8,9,-5069.437959834684,43.38976661810866,-201.33,-34105.32908506268
9,10,-5191.156221214986,41.54279553635334,-199.23,-34105.32908506268
10,11,-5493.255086677653,41.55546231463483,-209.1,-34105.32908506268
11,12,-5085.210080800383,40.40281864031806,-207.2,-34105.32908506268
12,13,-4235.961846436469,37.07813264154709,-206.57,-77654.51084423762
13,14,-3954.628509724847,36.1155526046848,-207.51,-77654.51084423762
14,15,-4408.171915516604,37.526155643096466,-210.43,-77654.51084423762
15,16,-4553.452657032238,38.474102203466366,-214.1,-77654.51084423762
16,17,-4328.39812781489,37.464790501282465,-214.26,-77654.51084423762
17,18,-4244.949309173209,37.06008000667237,-220.34,-77654.51084423762
18,19,-4276.571407837088,37.28296618416704,-231.85,-77654.51084423762
19,20,-4628.590279830564,37.800890893366365,-242.34,-77654.51084423762
20,21,-4633.681076995447,37.435522646851105,-249.28,-77654.51084423762
21,22,-4654.826958918124,36.79715238315076,-246.76,-77654.51084423762
22,23,-4382.59155200682,35.96652001938954,-257.47,-77654.51084423762
23,24,-5263.956222456842,38.00491094823562,-266.37,-77654.51084423762
24,25,-5433.411539954616,38.974624670588106,-274.23,-77654.51084423762
25,26,-5434.897675272809,39.36740608407085,-276.76,-77654.51084423762
26,27,-5434.8976752728095,39.36740608407085,-276.76,-77654.51084423762
27,28,-6309.3409175065135,39.97761510634648,-282.2,-87409.325940471
28,29,-6838.126657475564,39.92120723645044,-287.34,-87409.325940471
29,30,-7657.137031003634,41.03836835796724,-284.38,-87409.325940471
30,31,-7656.6038019492835,40.628271808950174,-281.09,-87409.325940471
31,32,-7814.722994953578,41.000781538774106,-278.88,-87409.325940471
32,33,-7218.917582954071,40.34428736514398,-284.66,-87409.325940471
33,34,-7332.626900693731,40.33902660290962,-283.93,-87409.325940471
34,35,-6968.983161929185,39.61755855613474,-279.51,-87409.325940471
35,36,-6968.698955378885,39.225913570720834,-278.02,-87409.325940471
36,37,-6767.695699609877,38.12163827718563,-275.27,-87409.325940471
37,38,-6775.628226608375,38.33452826449617,-280.38,-87409.325940471
38,39,-6765.245018067923,38.70832016143062,-289.82,-87409.325940471
39,40,-6846.7126544549155,38.830730157639834,-289.13,-87409.325940471
40,41,-7197.592850999274,38.369394756992584,-279.71,-87409.325940471
41,42,-7265.667027662074,38.0585423133372,-274.85,-87409.325940471
42,43,-7280.26190943912,38.000313211243025,-273.11,-87409.325940471
43,44,-7008.519108512828,37.00611209521523,-275.36,-87409.325940471
44,45,-7718.013096853179,35.400868670672324,-254.77,-87409.325940471
45,46,-7809.744961792958,35.439136295518075,-259.51,-87409.325940471
46,47,-7830.460699217805,35.71009426180089,-263.72,-87409.325940471
47,48,-7806.637131028151,35.69124708889866,-266.47,-87409.325940471
48,49,-7840.16866112044,36.218358009503305,-272.97,-87409.325940471
49,50,-8516.928996791537,36.76794491198175,-271.12,-87409.325940471
50,51,-8614.262637801115,36.30544445871313,-263.65,-87409.325940471
51,52,-10557.014034507522,36.492379091444086,-258.65,-103085.48321160633
52,53,-10873.234883543268,37.881824214553625,-267.92,-103085.48321160633
53,54,-10882.501839186472,37.744386543400466,-269.02,-103085.48321160633
54,55,-10153.284480006545,37.51445855350148,-285.5,-103085.48321160633
55,56,-11464.904295208806,38.208619808464334,-285.23,-103085.48321160633
56,57,-11141.245965774238,37.590827678235904,-283.34,-103085.48321160633
57,58,-12632.83426387849,38.70728250004218,-288.23,-103085.48321160633
58,59,-14783.391056307353,38.32821010868798,-271.5,-105602.93747177631
59,60,-14512.230045444396,38.089569715831686,-274.23,-105602.93747177631
60,61,-15001.631023277198,38.50417484892371,-281.1,-105602.93747177631
61,62,-15218.737057273369,38.59334827264748,-277.93,-105602.93747177631
62,63,-15137.16917508376,38.825184619471486,-279.41,-105602.93747177631
63,64,-15296.96635494356,38.914641261125965,-283.45,-105602.93747177631
64,65,-16453.503779190385,38.75194113899343,-279.85,-107140.47985294084
65,66,-18073.545585261887,38.717644084693674,-278.49,-107140.47985294084
66,67,-18947.64936634019,39.1463428881081,-280.59,-107140.47985294084
67,68,-21036.73673664025,39.037421095505515,-272.73,-107140.47985294084
68,69,-22534.96199584049,39.0579568069213,-272.97,-107140.47985294084
69,70,-25256.46549953655,39.40912561949054,-275.92,-110973.60484315998
70,71,-26371.160213045845,39.594383337856016,-275.57,-110973.60484315998
71,72,-27950.563043326893,38.99737382478815,-271.48,-110973.60484315998
72,73,-26921.19791489883,38.74822149327203,-275.38,-110973.60484315998
73,74,-25919.354445625646,38.283487126158754,-273.8,-110973.60484315998
74,75,-25860.27524878747,37.89224284083511,-265.98,-110973.60484315998
75,76,-27243.85679950512,38.6981250161871,-276.22,-110973.60484315998
76,77,-26195.77247089732,38.82358481944929,-280.77,-110973.60484315998
77,78,-27536.4822112541,38.62486134715134,-277.07,-110973.60484315998
78,79,-26094.34390171105,38.474358028100994,-277.45,-110973.60484315998
79,80,-18739.38097175153,37.53832894531319,-285.62,-118972.05297767764
80,81,-18916.78307576289,37.281056587723526,-284.81,-118972.05297767764
81,82,-17474.5592488331,36.95198609279249,-296.57,-118972.05297767764
82,83,-16288.188808478579,36.315770997321536,-295.99,-118972.05297767764
83,84,-15297.169906428606,36.22148493419755,-297.95,-118972.05297767764
84,85,-15433.101784431825,36.49679580275971,-298.93,-118972.05297767764
