,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-3810.6131394816593,33.83009666821398,-34.24,-14529.460448504151
1,2,-2361.8460302149824,23.062957925081083,-46.20666666666666,-18385.41169007486
2,3,-3491.1870991627484,38.78791227642352,-76.64666666666666,-18385.41169007486
3,4,-4204.64577263017,45.78727821790271,-106.67333333333333,-18385.41169007486
4,5,-3661.6894912367056,42.37604598435671,-119.13333333333334,-19833.73654157913
5,6,-2801.4279436309116,39.74430691307929,-135.54666666666665,-19833.73654157913
6,7,-2805.032889808751,37.56699055253026,-143.65333333333334,-19833.73654157913
7,8,-2985.088317081236,37.423095616592484,-142.41333333333333,-19833.73654157913
8,9,-3091.874764367738,36.78551969627737,-152.51333333333332,-19833.73654157913
9,10,-3346.399054696511,37.52391792406975,-163.03333333333333,-19833.73654157913
10,11,-3691.0929024475286,37.27201806440815,-159.44666666666666,-20124.540125570955
11,12,-3693.2084735200415,36.45611456066045,-160.13333333333333,-30166.74260508955
12,13,-3509.6898236192633,35.80995165454395,-168.79333333333332,-30166.74260508955
13,14,-3476.988025183616,34.33182886805303,-158.84666666666666,-30166.74260508955
14,15,-3441.397431891726,34.821558076007875,-172.28,-30166.74260508955
15,16,-3714.3768003288205,35.953194454552225,-182.00666666666666,-30166.74260508955
16,17,-3660.953409939944,35.055009770752754,-182.98666666666668,-30166.74260508955
17,18,-3703.524567860943,35.092188107296295,-191.5,-30166.74260508955
18,19,-3879.6215170932746,34.862943305160776,-200.0,-30166.74260508955
19,20,-4104.28891490828,36.05045369749366,-211.52666666666667,-30166.74260508955
20,21,-4104.281199532147,36.01666264838359,-211.5,-30166.74260508955
21,22,-4222.569565475087,36.482270386984375,-216.36666666666667,-30166.74260508955
22,23,-4225.85224079448,36.41319328357509,-211.7,-30166.74260508955
23,24,-4425.087567725618,37.16679495365047,-223.14666666666668,-30166.74260508955
24,25,-4384.477717474147,36.96037660225499,-228.40666666666667,-30166.74260508955
25,26,-4530.881987597819,36.864535868120576,-225.12666666666667,-30166.74260508955
26,27,-5081.195602079316,37.19661959064751,-224.89333333333335,-30166.74260508955
27,28,-5102.667936358388,37.51119333426217,-228.15333333333334,-30166.74260508955
28,29,-5135.755548166867,37.374609463984164,-227.02666666666667,-30166.74260508955
29,30,-5123.601723385235,36.894207992234364,-225.2,-30166.74260508955
30,31,-5206.056713608385,37.25510567590369,-232.66,-30166.74260508955
31,32,-5306.243215959655,36.046207754818475,-228.76,-30166.74260508955
32,33,-5526.241998723492,36.60657056886054,-232.01333333333332,-30166.74260508955
33,34,-5592.746474011948,36.81599993379215,-231.18666666666667,-30166.74260508955
34,35,-5757.571156316681,37.02883069028405,-234.53333333333333,-30166.74260508955
35,36,-6072.375041034306,38.14488995424214,-243.31333333333333,-30166.74260508955
36,37,-6157.802268911442,39.06631316839864,-252.09333333333333,-30166.74260508955
37,38,-6179.136622501671,39.35265306763225,-254.27333333333334,-30166.74260508955
38,39,-6351.019911416135,39.98965729742654,-260.56,-30166.74260508955
39,40,-6234.0651172692205,39.761691336431774,-261.8,-30166.74260508955
40,41,-5978.452370697915,39.33105020070956,-263.87333333333333,-30166.74260508955
41,42,-6394.176563273503,40.410557854545964,-270.1066666666667,-30166.74260508955
42,43,-6427.097281552185,40.27612016346737,-269.44,-30166.74260508955
43,44,-6214.0856838506625,39.468276638495844,-266.1066666666667,-30166.74260508955
44,45,-6225.290600516811,40.103897159465674,-274.7133333333333,-30166.74260508955
45,46,-6280.743876389956,40.19153051217595,-272.9266666666667,-30166.74260508955
46,47,-6352.067861786612,40.177273390642576,-274.06,-30166.74260508955
47,48,-6373.0331223223975,39.57116130478866,-268.00666666666666,-30166.74260508955
48,49,-6344.44094459004,38.93918411211564,-263.98,-30166.74260508955
49,50,-6601.653353748093,39.52875633278294,-269.12,-30166.74260508955
