,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-3474.4866386297904,31.360409908654947,-28.36,-19965.692981836735
1,2,-6229.759701369672,56.52198985550126,-67.46,-25424.337853566827
2,3,-3088.753337999479,43.4075136364922,-114.49,-25424.337853566827
3,4,-3611.957273672407,45.14357160617496,-142.68,-25424.337853566827
4,5,-3789.691237910011,44.495406177998056,-150.52,-25424.337853566827
5,6,-3852.458680759673,42.60779226489128,-155.53,-25424.337853566827
6,7,-3800.2787047660768,39.80740019006054,-171.79,-25424.337853566827
7,8,-3812.5949778887853,39.868338245957176,-184.05,-25424.337853566827
8,9,-3548.9915161952895,38.36719236393213,-185.67,-25424.337853566827
9,10,-3611.8870517169394,38.13459850804805,-197.7,-25424.337853566827
10,11,-4282.870256331243,37.07504738204851,-187.98,-33174.32082973331
11,12,-4305.9714888683275,35.59715856669746,-183.29,-33174.32082973331
12,13,-4684.028281945861,37.7530611610877,-194.72,-33174.32082973331
13,14,-3966.9275070734307,35.48784976241515,-206.07,-33174.32082973331
14,15,-4293.800500405779,35.173371323823886,-204.42,-33174.32082973331
15,16,-4288.177984888631,33.41634990124665,-191.82,-33174.32082973331
16,17,-4279.003822277255,33.51295657797499,-198.44,-33174.32082973331
17,18,-4476.687321419866,33.57317369134502,-194.16,-33174.32082973331
18,19,-4479.4401241551805,32.595023175094795,-186.95,-33174.32082973331
19,20,-4733.911019901912,33.04489246391562,-187.52,-33174.32082973331
20,21,-4001.1555937069097,31.614520706750067,-197.2,-33174.32082973331
21,22,-3803.547379494747,30.296001160837072,-194.21,-33174.32082973331
22,23,-3741.7376730596093,29.74800839310457,-195.71,-33174.32082973331
23,24,-4077.9911987297824,30.89632320720528,-204.89,-33174.32082973331
24,25,-4044.8836777408387,31.234079488031128,-209.59,-33174.32082973331
25,26,-4113.3146724112985,30.17740595141477,-203.16,-33174.32082973331
26,27,-4093.926113895505,30.07886096519071,-205.81,-33174.32082973331
27,28,-4202.391285992484,30.219646106995828,-213.37,-33174.32082973331
28,29,-4473.451656044346,30.753451957980488,-212.63,-33174.32082973331
29,30,-4261.6587552045185,30.61872563438523,-217.05,-33174.32082973331
30,31,-4392.629134686374,30.619069856599534,-217.19,-33174.32082973331
31,32,-4396.894109308688,30.971706794999395,-221.56,-33174.32082973331
32,33,-4609.043121728838,31.708294512498313,-234.03,-33174.32082973331
33,34,-4736.098730162263,32.12974045996156,-235.21,-33174.32082973331
34,35,-5049.830216067879,33.07972209289559,-251.11,-33174.32082973331
35,36,-5062.839577353033,32.919001479484066,-247.15,-33174.32082973331
36,37,-5056.887094876297,33.126141240651336,-248.63,-33174.32082973331
37,38,-4777.822193260373,32.392057369429594,-252.45,-33174.32082973331
38,39,-4792.708791761301,32.42786358869978,-253.39,-33174.32082973331
39,40,-4903.646983765146,32.71003434763023,-255.31,-33174.32082973331
40,41,-5130.824925173369,33.152089835973825,-255.63,-33174.32082973331
41,42,-5330.037611196093,33.74705777103143,-259.82,-33174.32082973331
42,43,-5301.106566206814,33.26391062449,-260.15,-33174.32082973331
43,44,-5305.3437550718045,33.3253877143601,-260.69,-33174.32082973331
44,45,-5310.282962741014,33.53646285477542,-264.8,-33174.32082973331
45,46,-5394.063001140162,34.27022275748759,-274.14,-33174.32082973331
46,47,-5915.415998586486,35.6114803501992,-280.6,-33174.32082973331
47,48,-5670.694610107034,35.69489738303136,-283.73,-33174.32082973331
48,49,-5695.341635985187,36.45643953814653,-296.19,-33174.32082973331
49,50,-5939.297374306134,36.656582044056286,-296.17,-33174.32082973331
