,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-3399.4633441168826,32.25307678783853,-31.493333333333332,-15673.056801705956
1,2,-1416.5179180810064,16.71290873133178,-48.74,-15673.056801705956
2,3,-4611.943566078882,45.159583558027194,-72.47333333333333,-15673.056801705956
3,4,-3648.301436628293,44.56938134201015,-112.04666666666667,-20278.023453400194
4,5,-3464.590557105848,42.400751284426825,-136.37333333333333,-34140.07733700865
5,6,-3656.3652323726487,42.175697327655975,-158.68,-34140.07733700865
6,7,-3896.897513477255,41.07043497662453,-167.00666666666666,-34140.07733700865
7,8,-3942.0322406198993,41.25785407565457,-181.95333333333335,-34140.07733700865
8,9,-4304.965088617042,41.71049413501268,-195.05333333333334,-34140.07733700865
9,10,-4355.432854101816,42.73864768296128,-211.84,-34140.07733700865
10,11,-4551.816720742413,41.03000780688141,-200.63333333333333,-34140.07733700865
11,12,-4802.431239934002,40.49387787645114,-196.90666666666667,-36118.00894847393
12,13,-4918.311038468075,40.03373663280768,-194.41333333333333,-36118.00894847393
13,14,-4930.066987799556,39.70457320607668,-195.88666666666666,-36118.00894847393
14,15,-4263.446698278459,38.77355287057105,-217.34666666666666,-36118.00894847393
15,16,-4303.142396729516,38.71155814164755,-221.12666666666667,-36118.00894847393
16,17,-3853.5027105298623,37.31752319965687,-226.54,-36118.00894847393
17,18,-3940.9962795085103,37.499114402636614,-233.57333333333332,-36118.00894847393
18,19,-4261.770160797666,38.22387136994272,-240.59333333333333,-36118.00894847393
19,20,-4489.682848232502,38.208723625752185,-238.76,-36118.00894847393
20,21,-4897.758826037981,39.287828182103254,-244.73333333333332,-36118.00894847393
21,22,-5086.65853986532,39.13339379335814,-240.28666666666666,-36118.00894847393
22,23,-5300.737119853897,40.10045357751646,-245.43333333333334,-36118.00894847393
23,24,-5320.399151581765,39.50933303400771,-243.06666666666666,-36118.00894847393
24,25,-5410.087467473732,39.37042956542382,-241.08,-36118.00894847393
25,26,-5451.12914931695,39.1758671898998,-241.52,-36118.00894847393
26,27,-5494.122909341418,38.87179451331168,-243.03333333333333,-36118.00894847393
27,28,-5776.0486359025645,39.587024177349726,-250.56,-36118.00894847393
