timestamp,open,high,low,close,volume
2011-01-03,151.8100,157.6100,151.7900,154.5600,5563200
2011-01-04,156.5000,156.5400,151.3700,154.3200,5480000
2011-01-05,152.7900,158.2200,152.5900,158.1500,5120000
2011-01-06,158.7100,159.9500,157.7300,159.5800,4355200
2011-01-07,160.3900,160.6600,154.5900,159.2100,6350400
2011-01-10,158.0000,161.8100,156.9500,161.0000,3585600
2011-01-11,162.9600,163.3100,160.0900,161.7400,4580800
2011-01-12,163.9800,165.1200,162.0900,165.0200,5587200
2011-01-13,165.6100,166.5500,163.9500,165.5400,5476800
2011-01-14,165.4600,169.1800,164.3800,169.1300,2553600
2011-01-18,164.8100,171.0000,164.5300,170.4800,5755200
2011-01-19,171.3500,171.3500,163.0600,164.7700,6248000
2011-01-20,162.8000,163.2100,157.4000,161.0700,7894400
2011-01-21,163.4200,164.4000,157.2800,157.3900,4368000
2011-01-24,158.2700,164.0300,157.4300,163.8900,3601600
2011-01-25,161.6800,164.6800,160.5000,164.4600,3993600
2011-01-26,165.5200,168.5600,163.9900,167.0100,4140800
2011-01-27,168.9700,171.6500,168.0500,170.2300,4640000
2011-01-28,170.2900,170.6100,155.1300,157.3900,10606400
2011-01-31,158.0100,160.9200,154.5000,159.7200,6665600
2011-02-01,163.4000,169.7000,162.7800,168.5900,8476800
2011-02-02,167.7000,169.5600,166.7700,167.8300,3838400
2011-02-03,166.9000,169.3900,162.8700,168.4800,5481600
2011-02-04,168.9100,171.8000,167.3800,171.5200,5664000
2011-02-07,172.5900,176.6900,171.7400,174.0100,4324800
2011-02-08,174.0700,177.7200,173.2000,177.7200,348804
2011-02-09,176.5400,178.1000,174.9100,176.6400,5433600
2011-02-10,173.7000,177.8600,172.5000,177.5000,5920000
2011-02-11,175.8600,181.2500,175.0000,181.1400,3939200
2011-02-14,181.1000,183.1200,180.6200,182.2800,2484800
2011-02-15,181.2700,182.2100,179.2200,181.8100,3884800
2011-02-16,183.2400,186.6300,182.9700,185.1700,5880000
2011-02-17,182.4400,186.0000,182.1000,185.0100,3614400
2011-02-18,185.1200,185.8600,181.7700,183.9600,5340800
2011-02-22,176.6200,178.0000,167.0000,167.7600,10076800
2011-02-23,167.7100,169.5100,159.8600,163.6200,8094400
2011-02-24,164.7700,167.6000,160.0000,165.9500,13355200
2011-02-25,84.5200,86.8900,84.2800,86.5300,4514400
2011-02-28,87.5200,88.3800,85.5900,87.1600,4346400
2011-03-01,88.3300,88.3300,82.2500,82.9700,5120800
2011-03-02,82.8100,85.8500,82.7400,84.1400,4754400
